sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
경기도 수원시,2007-02-01,2007년02월,0.009767109,1324,135557,136950,5944,4620,20,전산업,20,전직종
경기도 수원시,2007-03-01,2007년03월,0.006213947,851,136950,137619,7880,7029,20,전산업,20,전직종
경기도 수원시,2007-04-01,2007년04월,0.015601043,2147,137619,139862,8071,5924,20,전산업,20,전직종
경기도 수원시,2007-05-01,2007년05월,0.005820023,814,139862,140301,6644,5830,20,전산업,20,전직종
경기도 수원시,2007-06-01,2007년06월,0.00491087,689,140301,140458,5468,4779,20,전산업,20,전직종
경기도 수원시,2007-07-01,2007년07월,0.009597175,1348,140458,142107,7680,6332,20,전산업,20,전직종
경기도 수원시,2007-08-01,2007년08월,0.001780349,253,142107,142713,5775,5522,20,전산업,20,전직종
경기도 수원시,2007-09-01,2007년09월,-0.002536559,-362,142713,142129,5133,5495,20,전산업,20,전직종
경기도 수원시,2007-10-01,2007년10월,0.003940083,560,142129,142600,6427,5867,20,전산업,20,전직종
경기도 수원시,2007-11-01,2007년11월,-0.000112202,-16,142600,145147,6286,6302,20,전산업,20,전직종
경기도 수원시,2007-12-01,2007년12월,0.000840527,122,145147,145197,4971,4849,20,전산업,20,전직종
경기도 수원시,2008-01-01,2008년01월,-0.006962954,-1011,145197,144011,8319,9330,20,전산업,20,전직종
경기도 수원시,2008-02-01,2008년02월,0.009478443,1365,144011,145086,6464,5099,20,전산업,20,전직종
경기도 수원시,2008-03-01,2008년03월,0.005472616,794,145086,145342,7912,7118,20,전산업,20,전직종
경기도 수원시,2008-04-01,2008년04월,0.007031691,1022,145342,145960,7631,6609,20,전산업,20,전직종
경기도 수원시,2008-05-01,2008년05월,0.008146067,1189,145960,147071,6402,5213,20,전산업,20,전직종
경기도 수원시,2008-06-01,2008년06월,8.83927E-05,13,147071,146987,5899,5886,20,전산업,20,전직종
경기도 수원시,2008-07-01,2008년07월,0.006660453,979,146987,147654,6776,5797,20,전산업,20,전직종
경기도 수원시,2008-08-01,2008년08월,0.001252929,185,147654,146992,5083,4898,20,전산업,20,전직종
경기도 수원시,2008-09-01,2008년09월,0.001646348,242,146992,147271,6267,6025,20,전산업,20,전직종
경기도 수원시,2008-10-01,2008년10월,0.010939017,1611,147271,149017,7194,5583,20,전산업,20,전직종
경기도 수원시,2008-11-01,2008년11월,-0.00041606,-62,149017,148966,5316,5378,20,전산업,20,전직종
경기도 수원시,2008-12-01,2008년12월,-0.003074527,-458,148966,148807,4986,5444,20,전산업,20,전직종
경기도 수원시,2009-01-01,2009년01월,0.002553643,380,148807,149041,7888,7508,20,전산업,20,전직종
경기도 수원시,2009-02-01,2009년02월,0.02809965,4188,149041,153113,10022,5834,20,전산업,20,전직종
경기도 수원시,2009-03-01,2009년03월,0.01115516,1708,153113,154287,9588,7880,20,전산업,20,전직종
경기도 수원시,2009-04-01,2009년04월,-0.00131573,-203,154287,154238,8244,8447,20,전산업,20,전직종
경기도 수원시,2009-05-01,2009년05월,0.01084039,1672,154238,155580,6438,4766,20,전산업,20,전직종
경기도 수원시,2009-06-01,2009년06월,0.021230235,3303,155580,158609,9658,6355,20,전산업,20,전직종
경기도 수원시,2009-07-01,2009년07월,0.010434465,1655,158609,160352,8134,6479,20,전산업,20,전직종
경기도 수원시,2009-08-01,2009년08월,0.002506985,402,160352,160823,6515,6113,20,전산업,20,전직종
경기도 수원시,2009-09-01,2009년09월,0.006491609,1044,160823,161370,7746,6702,20,전산업,20,전직종
경기도 수원시,2009-10-01,2009년10월,0.008731487,1409,161370,160987,6943,5534,20,전산업,20,전직종
경기도 수원시,2009-11-01,2009년11월,0.007217974,1162,160987,162030,6723,5561,20,전산업,20,전직종
경기도 수원시,2009-12-01,2009년12월,-0.020119731,-3260,162030,158470,6063,9323,20,전산업,20,전직종
경기도 수원시,2010-01-01,2010년01월,-0.002694516,-427,158470,157765,9332,9759,20,전산업,20,전직종
경기도 수원시,2010-02-01,2010년02월,0.005254651,829,157765,158382,6294,5465,20,전산업,20,전직종
경기도 수원시,2010-03-01,2010년03월,0.004684876,742,158382,159110,10513,9771,20,전산업,20,전직종
경기도 수원시,2010-04-01,2010년04월,0.034912953,5555,159110,164033,12416,6861,20,전산업,20,전직종
경기도 수원시,2010-05-01,2010년05월,0.012076838,1981,164033,166638,8543,6562,20,전산업,20,전직종
경기도 수원시,2010-06-01,2010년06월,0.002754474,459,166638,165678,7079,6620,20,전산업,20,전직종
경기도 수원시,2010-07-01,2010년07월,0.004297493,712,165678,166934,7684,6972,20,전산업,20,전직종
경기도 수원시,2010-08-01,2010년08월,-0.00198881,-332,166934,166470,6419,6751,20,전산업,20,전직종
경기도 수원시,2010-09-01,2010년09월,0.002625098,437,166470,166843,7027,6590,20,전산업,20,전직종
